Token,Item Name,Description,Category,SKU,Variation Name,Price,Current Quantity Sincerely MLC,New Quantity Sincerely MLC,Stock Alert Enabled Sincerely MLC,Stock Alert Count Sincerely MLC
CNAQF66TN67ZKL5XDB5KDQ6T,8 Spike Y Necklace,,ALV Jewels,,Regular,45.00,,,,
GI4YMZ73YX7QV4CP7BSODXXS,Alpha Chi Omega Stellar Raglan Crewneck,,TSL,,Regular,48.00,,,,
L3QSDORVTZHZIRDMKTVSG6XD,Alpha Chi Tee,,TSL,,Regular,24.00,,,,
AH3Y2YZ365QTQ63EPMFZSIMB,Alpha Delta Pi Bossy Tee - Heavy Metal,,TSL,,Regular,22.00,,,,
RGK6TJRGWOKVSQF6T5RNYW5Z,Alpha Omicron Pi Bossy Tee - Red,,TSL,,Regular,22.00,,,,
KKG7E5WTXN2I3MWN2A7A6CJD,Alpha Omicron Pi Rose Gold Script Crewneck,,TSL,,Regular,30.00,,,,
5BF3S5TUF2JWN2RBNCA6DOYC,Alpha Phi Everyday Tee - Black,,TSL,,Regular,24.00,,,,
BR5TNXXW75XI6MKLBMFE4JD2,Alpha Phi Member Crewneck - Sport Grey,,TSL,,Regular,28.00,,,,
JQ4NAFEFUOVLZKXQHZSW23OB,Balmy Mini Dress,,Indah,,Regular,132.00,,,,
N4QEKWJR5PKYZH4EW466E56X,Bandits Chalk,,One Teaspoon,,Regular,110.00,,,,
UPTBCP4UHMBZ7ADPLICRKYJJ,Bandits High Wasted,,One Teaspoon,,Regular,110.00,,,,
5M7LMICMTRG5G4AWTACQMJ3N,Black Pave Charm Choker,,ALV Jewels,,Regular,35.00,,,,
LPYJDNZM6NZ3D6X6SAGIEZRY,Brando 202 Mini High-wasted Denim Skirt,,One Teaspoon,,Regular,120.00,,,,
PWE2E2GDWMNOOBE5KYKOBSER,Chalk Junkyard Relaxed Denim Mini Skirt,,One Teaspoon,,Regular,110.00,,,,
X6ANRT2SGAFMX6GMIXHPE5K4,Chi Omega Puff Crewneck - Black,,TSL,,Regular,26.00,,,,
MMXWHZU3FG7YTIYISQM3R6EP,Chi Omega Retrospeck Tee,,TSL,,Regular,32.00,,,,
OIEMPVCKVDS5TMBVXZ3ISNNM,Delta Gamma Calvin Tee,,TSL,,Regular,22.00,,,,
KLN5JAW72GZCVAVJ6YIIYFWR,Delta Zeta Tie Dye Script Tee,,TSL,,Regular,24.00,,,,
VT2M2I5DCVAPQHHVMKPPWSYE,Frost Dangle Choker,,ALV Jewels,,Regular,30.00,,,,
ALU4O7RSDFSSDB2X3KDACSEH,Gamma Phi Beta Stardust Relaxed Ringer Tee,,TSL,,Regular,20.00,,,,
T2KHW4PCBNTKWJIJUA7XPMWU,Gunmetal Choker,,ALV Jewels,,Regular,28.00,,,,
XQ4NWG6HBYW4HSGOW3W7MT3W,Gunmetal Spike Necklace,,ALV Jewels,,Regular,45.00,,,,
QQJCZNERLR6TCLBJGZJ3CG2Z,Gunmetal Star Dangle,,ALV Jewels,,Regular,30.00,,,,
LJW6IJSRPMJ4DFGPPRLU4NWM,Jerry Solid Long Sleeve Ruffle Blouse,,Indah,,Regular,81.00,,,,
CSOH7R2OGMT6JIJ7GWFWA47I,Kappa Alpha Theta Bossy Tee - Royal,,TSL,,Regular,22.00,,,,
3PXFR4UWMCX4JSKLUT2SLFUR,Kappa Delta Retro Tee,,TSL,,Regular,24.00,,,,
PAECXVGFYUFW624JPXBHUTHI,Kappa Delta Scorpion Tee,,TSL,,Regular,24.00,,,,
FGBYF35S3TNRQMB574CUHDO4,Kappa Kappa Gamma Boy Tee - Royal Blue,,TSL,,Regular,20.00,,,,
NWLV5GPTQBUY627ADWFUALSZ,Meringue Deep U Band Top - White / Black,,Indah,,Regular,53.00,,,,
LTI5L2BGJBMZY7ESORANFH2T,Phi Mu Retrospeck Tee,,TSL,,Regular,32.00,,,,
TNV5BSJBQSVLX5NSAFUQ63JU,Pi Beta Phi Tie Dye Script Tee,,TSL,,Regular,24.00,,,,
O626346Y2WJ4GBXEDJWSSFZI,Seamonster Tee,,One Teaspoon,,Regular,80.00,5,,,
7FSHDB6QMOD6PIRLHGNUZMWH,Sunbleach Blue Le Wolves,,One Teaspoon,,Regular,110.00,,,,
KYXGUQJATCUYCDJYC527UNIX,Tapioca V-neck Bodysuit- Black,,Indah,,Regular,62.00,,,,
ZT3WJWCLL6PMJTUCPOKWG2AS,Tapioca V-neck Bodysuit- Flush,,Indah,,Regular,62.00,,,,
REESTQZJPBBRGVXVLAHGCQ4H,Tapioca V-neck Bodysuit- Rock,,Indah,,Regular,62.00,,,,
C2NGM2QNLDYMDJ4QPPOCN57E,Tri Delta Slouchy Pullover,,TSL,,Regular,38.00,,,,
MI6JYYLHTSU5SYR7F4NMVHYX,Zeta Tau Alpha Everyday Tee,,TSL,,Regular,24.00,,,,
OX4NAK2TLK7PYA6S6URQUSQF,Zeta Tau Alpha Retro Tee,,TSL,,Regular,24.00,,,,
